LNR;ORT-ID;BEZEICHNUNG;DATUM;WOCHENTAG;RI;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;11050;St.Gallen Stadt Lerchental;01.02.2019;Freitag;1;0;0;2;2;1;7;12;16;42;78;69;81;74;71;66;75;89;83;34;10;25;2;1;1
1;11050;St.Gallen Stadt Lerchental;01.02.2019;Freitag;2;0;0;2;1;2;10;70;139;87;98;75;79;81;105;82;79;84;49;18;4;3;1;2;0
2;11050;St.Gallen Stadt Lerchental;02.02.2019;Samstag;1;0;0;1;0;2;3;0;9;15;56;64;63;52;61;44;57;52;18;5;3;2;2;7;2
3;11050;St.Gallen Stadt Lerchental;02.02.2019;Samstag;2;2;3;2;0;2;4;1;18;27;67;67;60;62;54;55;60;47;7;3;2;0;4;7;3
4;11050;St.Gallen Stadt Lerchental;03.02.2019;Sonntag;1;0;0;2;0;1;1;19;2;3;4;7;6;10;8;7;16;6;4;6;5;4;3;0;0
5;11050;St.Gallen Stadt Lerchental;03.02.2019;Sonntag;2;0;1;1;0;1;4;12;1;2;2;5;12;6;14;3;10;3;5;1;4;2;3;1;0
6;11050;St.Gallen Stadt Lerchental;04.02.2019;Montag;1;0;0;2;1;1;7;13;17;46;85;66;87;68;75;69;79;117;116;52;17;4;2;3;1
7;11050;St.Gallen Stadt Lerchental;04.02.2019;Montag;2;0;0;4;1;2;11;66;144;96;92;70;74;80;109;82;87;99;59;27;5;6;6;0;0
8;11050;St.Gallen Stadt Lerchental;05.02.2019;Dienstag;1;0;0;3;0;3;4;11;33;51;66;75;86;56;49;72;77;91;110;69;13;6;3;0;2
9;11050;St.Gallen Stadt Lerchental;05.02.2019;Dienstag;2;0;0;3;0;6;10;61;154;96;81;85;55;53;110;100;78;73;61;31;3;4;1;2;0
10;11050;St.Gallen Stadt Lerchental;06.02.2019;Mittwoch;1;1;0;0;1;0;3;13;37;48;56;75;91;70;48;69;63;90;128;62;14;3;3;4;1
11;11050;St.Gallen Stadt Lerchental;06.02.2019;Mittwoch;2;0;0;3;0;2;8;62;170;86;70;90;65;75;90;85;71;83;72;21;2;4;2;3;0
12;11050;St.Gallen Stadt Lerchental;07.02.2019;Donnerstag;1;3;0;2;0;1;3;9;37;54;69;88;99;71;58;87;88;84;105;66;28;5;4;4;0
13;11050;St.Gallen Stadt Lerchental;07.02.2019;Donnerstag;2;1;1;2;0;1;7;61;158;106;99;91;71;69;123;116;83;86;48;38;15;4;2;0;1
14;11050;St.Gallen Stadt Lerchental;08.02.2019;Freitag;1;1;0;3;0;0;5;15;29;53;95;75;101;64;58;71;87;107;77;51;24;6;3;0;1
15;11050;St.Gallen Stadt Lerchental;08.02.2019;Freitag;2;0;0;2;1;2;8;63;156;81;81;97;71;64;110;82;75;79;54;41;3;3;1;2;0
16;11050;St.Gallen Stadt Lerchental;09.02.2019;Samstag;1;0;0;0;1;1;2;1;14;15;41;73;88;59;62;48;53;64;19;7;3;7;2;4;7
17;11050;St.Gallen Stadt Lerchental;09.02.2019;Samstag;2;0;0;3;0;0;3;4;25;29;64;74;88;53;55;55;61;47;8;9;3;1;6;2;3
18;11050;St.Gallen Stadt Lerchental;10.02.2019;Sonntag;1;1;1;0;1;0;0;1;0;3;6;11;4;9;5;9;12;8;6;4;2;3;2;3;0
19;11050;St.Gallen Stadt Lerchental;10.02.2019;Sonntag;2;2;0;1;0;0;2;2;0;3;5;5;6;7;10;4;7;5;2;5;3;1;1;1;1
20;11050;St.Gallen Stadt Lerchental;11.02.2019;Montag;1;1;0;2;0;1;3;10;38;64;66;77;100;70;56;79;81;114;97;62;25;6;0;1;0
21;11050;St.Gallen Stadt Lerchental;11.02.2019;Montag;2;1;0;3;0;2;8;60;175;108;91;79;70;87;127;85;81;83;55;27;10;3;0;0;0
22;11050;St.Gallen Stadt Lerchental;12.02.2019;Dienstag;1;1;0;2;1;3;1;15;39;48;75;76;98;70;50;64;73;75;94;57;31;19;9;4;0
23;11050;St.Gallen Stadt Lerchental;12.02.2019;Dienstag;2;0;0;2;1;4;8;67;159;82;89;97;66;75;100;78;74;74;79;33;4;3;3;3;0
24;11050;St.Gallen Stadt Lerchental;13.02.2019;Mittwoch;1;0;0;1;1;0;1;11;36;53;76;78;92;62;60;90;69;95;119;62;24;5;5;2;0
25;11050;St.Gallen Stadt Lerchental;13.02.2019;Mittwoch;2;0;0;3;0;1;6;65;146;93;95;89;59;58;120;81;86;81;64;30;14;5;2;0;0
26;11050;St.Gallen Stadt Lerchental;14.02.2019;Donnerstag;1;0;0;0;4;0;1;11;37;58;95;95;101;81;71;71;73;101;121;56;28;9;4;1;1
27;11050;St.Gallen Stadt Lerchental;14.02.2019;Donnerstag;2;0;0;2;1;3;8;71;161;116;95;92;86;75;106;81;97;93;62;39;22;4;2;1;1
28;11050;St.Gallen Stadt Lerchental;15.02.2019;Freitag;1;1;1;2;0;0;2;9;45;42;66;79;97;70;56;68;84;96;97;47;11;5;3;0;4
29;11050;St.Gallen Stadt Lerchental;15.02.2019;Freitag;2;2;1;3;1;2;8;60;143;93;79;91;75;74;95;86;75;79;58;38;6;4;3;1;2
30;11050;St.Gallen Stadt Lerchental;16.02.2019;Samstag;1;0;1;0;1;0;1;3;8;21;39;60;68;55;57;52;59;43;26;12;1;2;2;1;3
31;11050;St.Gallen Stadt Lerchental;16.02.2019;Samstag;2;1;0;2;1;1;5;5;24;43;45;61;59;50;54;55;51;41;13;5;4;2;2;1;2
32;11050;St.Gallen Stadt Lerchental;17.02.2019;Sonntag;1;0;0;0;0;1;0;3;0;2;5;5;4;10;8;7;12;21;16;5;2;0;3;0;0
33;11050;St.Gallen Stadt Lerchental;17.02.2019;Sonntag;2;0;0;1;0;1;0;1;0;3;3;6;5;8;6;7;11;10;12;4;3;1;3;0;0
34;11050;St.Gallen Stadt Lerchental;18.02.2019;Montag;1;0;0;1;0;0;1;6;40;62;82;87;93;83;72;83;83;112;113;58;14;4;4;1;6
35;11050;St.Gallen Stadt Lerchental;18.02.2019;Montag;2;0;0;2;0;3;5;63;170;115;99;94;80;71;126;102;81;101;51;24;12;3;1;2;2
36;11050;St.Gallen Stadt Lerchental;19.02.2019;Dienstag;1;0;0;2;1;0;3;11;75;53;71;85;110;51;56;70;85;114;102;57;18;1;4;1;3
37;11050;St.Gallen Stadt Lerchental;19.02.2019;Dienstag;2;0;0;2;0;2;7;70;145;110;98;102;72;57;110;81;76;104;56;26;3;2;1;2;2
38;11050;St.Gallen Stadt Lerchental;20.02.2019;Mittwoch;1;0;1;1;0;1;1;11;44;45;61;73;78;77;62;65;74;123;99;64;9;7;4;1;2
39;11050;St.Gallen Stadt Lerchental;20.02.2019;Mittwoch;2;0;0;2;0;2;10;63;146;93;81;74;64;61;110;79;79;83;70;32;5;7;3;1;1
40;11050;St.Gallen Stadt Lerchental;21.02.2019;Donnerstag;1;1;0;1;0;1;2;7;25;64;77;90;98;81;64;73;72;104;109;67;32;9;3;0;1
41;11050;St.Gallen Stadt Lerchental;21.02.2019;Donnerstag;2;1;2;2;0;2;10;61;166;137;109;92;79;72;127;83;85;64;58;30;20;6;1;4;1
42;11050;St.Gallen Stadt Lerchental;22.02.2019;Freitag;1;0;0;1;2;1;2;11;40;49;61;71;113;59;71;92;93;111;110;51;6;2;3;3;0
