LNR;ORT-ID;BEZEICHNUNG;DATUM;WOCHENTAG;RI;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;10924;St.Gallen Stadt Dufourstr. 4;17.08.2019;Samstag;1;10;7;5;6;6;5;2;18;22;47;58;69;28;51;60;57;59;46;40;28;21;25;33;15
1;10924;St.Gallen Stadt Dufourstr. 4;18.08.2019;Sonntag;1;18;6;8;6;3;2;5;8;9;11;28;38;42;31;30;37;28;42;32;40;34;15;8;1
2;10924;St.Gallen Stadt Dufourstr. 4;19.08.2019;Montag;1;9;6;1;3;3;6;27;117;132;48;57;64;57;66;57;53;58;112;92;35;32;23;16;5
3;10924;St.Gallen Stadt Dufourstr. 4;20.08.2019;Dienstag;1;2;0;0;3;4;7;22;83;64;77;64;63;49;66;59;54;73;146;116;37;25;30;19;6
4;10924;St.Gallen Stadt Dufourstr. 4;21.08.2019;Mittwoch;1;1;2;0;2;2;5;28;79;61;45;53;66;67;63;56;65;71;117;77;40;32;22;21;8
5;10924;St.Gallen Stadt Dufourstr. 4;22.08.2019;Donnerstag;1;2;1;2;3;1;2;24;84;59;44;51;47;71;62;60;73;61;125;94;34;32;27;20;11
6;10924;St.Gallen Stadt Dufourstr. 4;23.08.2019;Freitag;1;5;0;0;4;1;6;23;68;62;53;60;73;56;59;65;74;90;115;90;38;25;22;13;19
7;10924;St.Gallen Stadt Dufourstr. 4;24.08.2019;Samstag;1;10;10;2;8;8;6;4;14;32;45;59;53;43;64;60;56;47;37;34;33;20;25;13;11
8;10924;St.Gallen Stadt Dufourstr. 4;25.08.2019;Sonntag;1;4;4;8;1;2;0;3;6;17;19;23;34;26;24;27;20;32;46;45;28;28;18;11;1
9;10924;St.Gallen Stadt Dufourstr. 4;26.08.2019;Montag;1;0;0;0;4;1;6;19;92;94;46;50;67;62;63;60;45;71;104;78;39;33;28;16;4
10;10924;St.Gallen Stadt Dufourstr. 4;27.08.2019;Dienstag;1;8;1;1;4;2;5;29;87;80;75;49;60;49;65;48;61;68;132;104;50;35;26;10;7
11;10924;St.Gallen Stadt Dufourstr. 4;28.08.2019;Mittwoch;1;2;0;0;4;2;9;27;85;85;51;56;71;60;61;58;61;77;132;79;38;47;22;26;4
12;10924;St.Gallen Stadt Dufourstr. 4;29.08.2019;Donnerstag;1;0;1;1;4;1;10;19;105;71;49;52;67;59;66;51;70;80;148;95;39;36;32;28;7
13;10924;St.Gallen Stadt Dufourstr. 4;30.08.2019;Freitag;1;1;1;2;2;4;5;20;63;66;58;53;78;46;73;70;69;105;137;116;40;28;28;28;8
14;10924;St.Gallen Stadt Dufourstr. 4;31.08.2019;Samstag;1;2;7;5;2;5;3;9;16;40;42;62;49;62;54;54;47;54;54;48;23;21;19;21;11
15;10924;St.Gallen Stadt Dufourstr. 4;01.09.2019;Sonntag;1;9;4;5;0;1;1;1;4;17;27;34;36;38;36;30;46;40;48;40;25;23;16;10;6
