LNR;ORT-ID;BEZEICHNUNG;DATUM;WOCHENTAG;RI;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;10941;St.Gallen Stadt Gerhaldenstr.21;19.08.2019;Montag;1;4;2;1;2;6;11;54;141;98;87;81;121;67;84;93;87;86;112;74;41;32;24;11;5
1;10941;St.Gallen Stadt Gerhaldenstr.21;19.08.2019;Montag;2;3;2;2;3;1;3;44;71;75;81;67;98;87;89;85;101;96;112;97;68;48;37;21;11
2;10941;St.Gallen Stadt Gerhaldenstr.21;20.08.2019;Dienstag;1;4;2;1;2;7;3;55;147;101;91;100;104;74;103;95;81;104;106;79;42;36;23;16;8
3;10941;St.Gallen Stadt Gerhaldenstr.21;20.08.2019;Dienstag;2;3;0;0;3;0;9;37;97;95;60;84;90;91;96;87;79;82;113;104;54;42;26;26;12
4;10941;St.Gallen Stadt Gerhaldenstr.21;21.08.2019;Mittwoch;1;0;2;1;1;5;5;57;134;101;94;99;106;68;96;89;77;87;116;94;47;31;23;15;8
5;10941;St.Gallen Stadt Gerhaldenstr.21;21.08.2019;Mittwoch;2;2;2;0;3;0;2;34;104;28;48;95;86;95;90;82;91;85;107;133;65;43;37;27;15
6;10941;St.Gallen Stadt Gerhaldenstr.21;22.08.2019;Donnerstag;1;2;2;0;3;5;9;62;117;93;51;82;88;77;90;80;93;85;109;77;52;33;30;23;4
7;10941;St.Gallen Stadt Gerhaldenstr.21;22.08.2019;Donnerstag;2;5;2;2;1;0;11;43;86;75;74;89;100;75;105;86;83;88;94;109;56;61;29;30;18
8;10941;St.Gallen Stadt Gerhaldenstr.21;23.08.2019;Freitag;1;2;3;2;2;4;7;45;111;98;82;103;81;79;83;83;100;100;105;57;41;32;20;10;13
9;10941;St.Gallen Stadt Gerhaldenstr.21;23.08.2019;Freitag;2;7;9;1;3;1;2;35;78;81;65;81;100;85;82;77;80;94;109;68;62;34;35;16;17
10;10941;St.Gallen Stadt Gerhaldenstr.21;24.08.2019;Samstag;1;6;3;3;3;5;5;15;37;73;85;89;103;59;89;62;89;75;43;39;25;27;26;20;13
11;10941;St.Gallen Stadt Gerhaldenstr.21;24.08.2019;Samstag;2;11;7;3;5;3;4;15;17;41;58;76;73;67;63;68;62;98;75;54;38;28;28;17;15
12;10941;St.Gallen Stadt Gerhaldenstr.21;25.08.2019;Sonntag;1;6;7;3;1;0;3;9;13;28;39;53;52;51;45;61;55;40;55;42;26;25;23;9;7
13;10941;St.Gallen Stadt Gerhaldenstr.21;25.08.2019;Sonntag;2;17;10;6;3;2;4;8;11;11;32;30;51;47;44;59;74;59;52;73;51;34;25;13;10
14;10941;St.Gallen Stadt Gerhaldenstr.21;26.08.2019;Montag;1;1;0;1;2;4;10;51;128;93;85;93;96;62;74;83;70;83;92;86;53;27;31;11;3
15;10941;St.Gallen Stadt Gerhaldenstr.21;26.08.2019;Montag;2;0;0;0;3;0;2;44;88;98;90;109;95;107;104;85;94;89;113;116;68;53;45;24;14
16;10941;St.Gallen Stadt Gerhaldenstr.21;27.08.2019;Dienstag;1;0;1;0;1;3;10;59;132;108;82;94;113;68;79;79;72;96;108;76;56;30;31;20;6
17;10941;St.Gallen Stadt Gerhaldenstr.21;27.08.2019;Dienstag;2;1;0;1;3;0;6;44;111;99;113;99;102;119;69;103;91;108;139;119;66;49;50;29;9
18;10941;St.Gallen Stadt Gerhaldenstr.21;28.08.2019;Mittwoch;1;7;3;1;3;3;7;48;116;102;76;99;114;73;113;82;93;107;110;70;46;39;36;14;6
19;10941;St.Gallen Stadt Gerhaldenstr.21;28.08.2019;Mittwoch;2;6;3;0;4;1;2;42;30;86;94;95;118;91;121;81;120;113;144;121;88;54;49;26;10
20;10941;St.Gallen Stadt Gerhaldenstr.21;29.08.2019;Donnerstag;1;2;2;0;2;3;18;52;138;104;85;86;106;62;75;73;90;94;113;77;49;41;22;25;8
21;10941;St.Gallen Stadt Gerhaldenstr.21;29.08.2019;Donnerstag;2;3;1;1;1;1;7;28;108;113;86;110;100;94;48;114;94;113;105;114;73;58;42;36;24
22;10941;St.Gallen Stadt Gerhaldenstr.21;30.08.2019;Freitag;1;7;3;0;1;4;11;44;106;102;104;93;109;83;100;168;106;103;100;74;55;33;32;21;18
23;10941;St.Gallen Stadt Gerhaldenstr.21;30.08.2019;Freitag;2;8;6;1;1;2;5;43;91;112;90;98;110;105;93;87;116;116;129;95;74;47;49;36;31
24;10941;St.Gallen Stadt Gerhaldenstr.21;31.08.2019;Samstag;1;6;5;3;6;2;4;15;33;73;99;95;97;56;85;73;75;65;40;27;33;22;21;9;13
25;10941;St.Gallen Stadt Gerhaldenstr.21;31.08.2019;Samstag;2;13;5;3;5;1;2;17;30;47;79;86;87;93;89;90;82;70;81;58;43;20;28;14;19
26;10941;St.Gallen Stadt Gerhaldenstr.21;01.09.2019;Sonntag;1;9;9;0;3;3;4;6;13;22;37;47;53;49;45;43;48;56;53;21;28;26;16;9;4
27;10941;St.Gallen Stadt Gerhaldenstr.21;01.09.2019;Sonntag;2;10;6;1;4;3;2;6;10;16;33;34;41;54;67;61;88;82;100;63;40;48;24;14;8
