LNR;ORT-ID;BEZEICHNUNG;DATUM;WOCHENTAG;RI;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;10922;St.Gallen Stadt Guisanstr. 40;01.01.2019;Dienstag;1;10;16;9;3;3;1;9;10;10;13;15;31;23;38;42;54;37;35;20;27;15;12;10;6
1;10922;St.Gallen Stadt Guisanstr. 40;01.01.2019;Dienstag;2;21;16;12;5;2;2;7;12;6;10;23;19;34;34;47;43;31;40;25;23;7;11;11;12
2;10922;St.Gallen Stadt Guisanstr. 40;02.01.2019;Mittwoch;1;3;2;1;3;4;0;14;24;30;28;34;35;41;49;51;47;48;33;28;35;18;13;11;11
3;10922;St.Gallen Stadt Guisanstr. 40;02.01.2019;Mittwoch;2;7;1;1;1;2;3;11;23;23;21;37;47;46;41;45;40;44;51;32;36;17;10;13;12
4;10922;St.Gallen Stadt Guisanstr. 40;03.01.2019;Donnerstag;1;6;0;1;4;2;10;29;48;46;41;35;44;34;54;48;46;46;51;48;36;16;20;11;11
5;10922;St.Gallen Stadt Guisanstr. 40;03.01.2019;Donnerstag;2;10;1;1;1;3;5;23;42;38;31;31;50;52;54;38;38;61;70;56;42;27;19;16;8
6;10922;St.Gallen Stadt Guisanstr. 40;04.01.2019;Freitag;1;4;1;0;3;2;11;23;42;50;51;56;47;40;44;63;63;44;64;43;40;15;9;10;12
7;10922;St.Gallen Stadt Guisanstr. 40;04.01.2019;Freitag;2;5;3;0;1;1;9;26;34;60;36;46;53;45;56;66;63;54;56;61;39;17;22;17;10
8;10922;St.Gallen Stadt Guisanstr. 40;05.01.2019;Samstag;1;9;2;2;2;4;5;10;17;22;39;36;37;39;50;38;41;37;40;38;25;16;14;12;19
9;10922;St.Gallen Stadt Guisanstr. 40;05.01.2019;Samstag;2;9;7;2;3;4;5;10;19;29;33;39;37;53;50;49;37;51;50;31;22;18;13;18;16
10;10922;St.Gallen Stadt Guisanstr. 40;06.01.2019;Sonntag;1;31;3;1;2;4;6;15;20;31;39;46;51;49;49;63;46;54;29;27;33;17;16;14;10
11;10922;St.Gallen Stadt Guisanstr. 40;06.01.2019;Sonntag;2;12;3;3;3;1;2;8;14;16;23;37;24;25;36;50;35;60;34;26;18;30;18;19;9
12;10922;St.Gallen Stadt Guisanstr. 40;07.01.2019;Montag;1;5;0;1;2;6;13;44;90;78;44;62;70;49;88;66;37;77;85;71;57;28;28;18;12
13;10922;St.Gallen Stadt Guisanstr. 40;07.01.2019;Montag;2;5;1;1;0;5;8;44;51;60;52;59;65;53;72;48;50;67;78;76;64;26;29;16;13
14;10922;St.Gallen Stadt Guisanstr. 40;08.01.2019;Dienstag;1;6;1;1;4;5;12;44;100;68;46;67;65;43;76;58;56;71;71;70;48;26;20;22;12
15;10922;St.Gallen Stadt Guisanstr. 40;08.01.2019;Dienstag;2;9;0;0;1;4;6;35;62;62;38;47;64;50;58;53;62;63;82;89;63;37;27;23;11
16;10922;St.Gallen Stadt Guisanstr. 40;09.01.2019;Mittwoch;1;4;3;0;2;3;14;42;86;93;46;72;75;66;66;67;60;79;96;63;47;40;30;21;9
17;10922;St.Gallen Stadt Guisanstr. 40;09.01.2019;Mittwoch;2;4;3;0;2;2;10;42;57;62;47;56;63;74;64;68;52;74;77;65;39;40;34;24;9
18;10922;St.Gallen Stadt Guisanstr. 40;10.01.2019;Donnerstag;1;7;0;1;2;8;18;39;81;57;46;55;43;49;68;39;59;86;83;73;47;40;23;26;11
19;10922;St.Gallen Stadt Guisanstr. 40;10.01.2019;Donnerstag;2;7;0;0;2;5;11;37;80;37;38;44;39;44;58;40;41;60;74;61;46;35;22;23;11
20;10922;St.Gallen Stadt Guisanstr. 40;11.01.2019;Freitag;1;13;1;2;5;11;14;55;90;108;56;63;86;80;91;72;83;87;80;79;58;27;29;28;19
21;10922;St.Gallen Stadt Guisanstr. 40;11.01.2019;Freitag;2;9;1;3;5;10;12;43;73;100;57;63;81;56;61;55;59;66;77;75;49;23;24;25;16
22;10922;St.Gallen Stadt Guisanstr. 40;12.01.2019;Samstag;1;14;5;0;7;3;14;28;27;45;67;60;62;71;65;68;55;77;68;47;30;26;11;21;27
23;10922;St.Gallen Stadt Guisanstr. 40;12.01.2019;Samstag;2;16;5;0;6;3;11;29;29;36;51;48;45;56;47;62;48;72;54;41;28;23;11;18;27
24;10922;St.Gallen Stadt Guisanstr. 40;13.01.2019;Sonntag;1;11;9;8;4;5;4;12;19;33;41;47;55;56;58;75;69;61;66;48;39;44;24;16;12
25;10922;St.Gallen Stadt Guisanstr. 40;13.01.2019;Sonntag;2;10;10;7;4;3;4;6;19;26;32;39;42;44;46;59;50;52;56;34;31;34;22;14;12
26;10922;St.Gallen Stadt Guisanstr. 40;14.01.2019;Montag;1;11;1;2;1;2;11;54;123;122;68;69;80;75;97;87;75;98;105;108;62;50;34;24;12
27;10922;St.Gallen Stadt Guisanstr. 40;14.01.2019;Montag;2;8;1;2;1;1;6;47;84;92;64;53;68;60;64;61;58;67;99;96;50;44;29;20;11
28;10922;St.Gallen Stadt Guisanstr. 40;15.01.2019;Dienstag;1;5;3;1;1;7;12;48;122;129;68;70;79;84;97;87;93;112;135;116;65;48;42;27;14
29;10922;St.Gallen Stadt Guisanstr. 40;15.01.2019;Dienstag;2;5;2;1;1;3;8;35;77;88;45;46;64;60;63;63;60;62;94;82;43;30;38;20;13
30;10922;St.Gallen Stadt Guisanstr. 40;16.01.2019;Mittwoch;1;8;4;0;3;4;12;49;115;144;82;87;109;111;111;96;75;80;99;87;67;39;24;23;11
31;10922;St.Gallen Stadt Guisanstr. 40;16.01.2019;Mittwoch;2;7;4;0;1;3;7;33;75;76;50;60;76;74;66;59;50;73;91;82;70;33;24;26;16
32;10922;St.Gallen Stadt Guisanstr. 40;17.01.2019;Donnerstag;1;8;2;1;3;4;13;54;99;85;60;55;64;64;69;57;60;67;97;77;50;25;25;16;17
33;10922;St.Gallen Stadt Guisanstr. 40;17.01.2019;Donnerstag;2;8;0;2;2;4;7;30;84;71;45;50;60;64;63;67;57;47;90;65;57;35;32;25;14
34;10922;St.Gallen Stadt Guisanstr. 40;18.01.2019;Freitag;1;8;2;0;2;4;20;51;88;77;56;55;66;60;75;74;65;78;67;68;54;26;15;17;19
35;10922;St.Gallen Stadt Guisanstr. 40;18.01.2019;Freitag;2;12;4;0;1;4;10;39;76;67;51;59;68;66;67;64;59;73;80;75;50;35;27;25;31
36;10922;St.Gallen Stadt Guisanstr. 40;19.01.2019;Samstag;1;8;5;4;1;1;7;14;24;46;51;48;60;52;56;55;64;50;45;40;30;25;17;17;21
37;10922;St.Gallen Stadt Guisanstr. 40;19.01.2019;Samstag;2;12;3;2;2;1;8;12;28;48;35;43;59;45;56;58;54;46;55;43;24;21;22;24;22
38;10922;St.Gallen Stadt Guisanstr. 40;20.01.2019;Sonntag;1;15;9;7;1;5;3;8;11;23;27;47;42;36;57;50;49;58;42;31;34;25;11;12;11
39;10922;St.Gallen Stadt Guisanstr. 40;20.01.2019;Sonntag;2;17;15;12;3;2;3;9;10;17;24;33;31;34;50;51;53;59;43;35;24;25;24;17;14
40;10922;St.Gallen Stadt Guisanstr. 40;21.01.2019;Montag;1;7;2;3;0;3;8;50;92;85;48;43;76;56;73;42;53;56;96;66;33;19;19;14;9
41;10922;St.Gallen Stadt Guisanstr. 40;21.01.2019;Montag;2;8;3;3;0;5;7;39;71;72;52;53;97;104;61;58;50;64;77;78;55;35;21;26;15
42;10922;St.Gallen Stadt Guisanstr. 40;22.01.2019;Dienstag;1;6;2;3;0;3;8;39;85;75;47;41;51;49;62;42;68;62;75;83;31;25;14;18;11
43;10922;St.Gallen Stadt Guisanstr. 40;22.01.2019;Dienstag;2;6;3;1;0;4;6;44;66;78;34;44;66;63;58;65;73;75;83;83;58;31;27;23;13
44;10922;St.Gallen Stadt Guisanstr. 40;23.01.2019;Mittwoch;1;5;4;1;1;1;12;34;93;75;41;53;57;58;60;53;78;67;80;78;46;31;20;9;9
45;10922;St.Gallen Stadt Guisanstr. 40;23.01.2019;Mittwoch;2;6;3;1;2;3;7;31;92;73;49;55;75;70;71;64;60;57;78;96;62;42;25;19;14
46;10922;St.Gallen Stadt Guisanstr. 40;24.01.2019;Donnerstag;1;9;2;0;3;1;9;40;91;89;42;47;54;57;56;37;87;59;85;61;41;23;21;17;17
47;10922;St.Gallen Stadt Guisanstr. 40;24.01.2019;Donnerstag;2;5;2;0;4;3;5;38;73;72;41;43;51;61;66;44;55;59;98;72;47;37;32;29;18
48;10922;St.Gallen Stadt Guisanstr. 40;25.01.2019;Freitag;1;8;1;2;3;9;16;39;87;83;44;58;70;62;75;46;71;77;65;54;43;21;25;13;15
49;10922;St.Gallen Stadt Guisanstr. 40;25.01.2019;Freitag;2;10;4;3;0;10;12;32;70;60;44;56;95;65;70;55;47;87;89;77;44;36;34;24;20
50;10922;St.Gallen Stadt Guisanstr. 40;26.01.2019;Samstag;1;9;2;2;1;3;6;14;12;35;57;46;37;48;37;39;39;31;44;49;25;19;11;14;16
51;10922;St.Gallen Stadt Guisanstr. 40;26.01.2019;Samstag;2;8;4;3;2;6;5;11;17;39;36;39;40;41;46;46;43;46;53;39;28;19;18;18;16
52;10922;St.Gallen Stadt Guisanstr. 40;27.01.2019;Sonntag;1;8;3;0;1;2;0;11;12;21;19;36;34;31;43;44;34;42;29;17;21;13;16;10;9
53;10922;St.Gallen Stadt Guisanstr. 40;27.01.2019;Sonntag;2;13;5;1;0;0;0;5;8;16;22;33;32;35;38;39;33;37;46;24;24;22;16;8;8
54;10922;St.Gallen Stadt Guisanstr. 40;28.01.2019;Montag;1;5;1;3;0;2;18;37;48;70;49;42;38;46;40;40;61;59;70;45;36;16;13;11;10
55;10922;St.Gallen Stadt Guisanstr. 40;28.01.2019;Montag;2;6;3;2;1;5;9;38;39;50;49;43;49;45;44;49;51;51;80;55;49;36;24;14;12
56;10922;St.Gallen Stadt Guisanstr. 40;29.01.2019;Dienstag;1;5;3;3;1;3;15;41;57;84;48;50;35;48;45;48;53;62;69;46;33;13;19;11;9
57;10922;St.Gallen Stadt Guisanstr. 40;29.01.2019;Dienstag;2;6;4;2;2;8;11;35;38;58;45;28;59;43;40;47;41;55;55;54;33;22;19;12;9
58;10922;St.Gallen Stadt Guisanstr. 40;30.01.2019;Mittwoch;1;5;2;3;0;0;12;30;59;61;43;38;55;49;43;58;48;54;63;58;31;26;19;22;19
59;10922;St.Gallen Stadt Guisanstr. 40;30.01.2019;Mittwoch;2;7;1;2;0;2;7;33;48;57;53;34;60;48;46;41;42;49;69;60;30;42;17;18;14
60;10922;St.Gallen Stadt Guisanstr. 40;31.01.2019;Donnerstag;1;6;2;0;2;3;8;35;60;52;33;45;52;54;50;47;44;37;59;41;40;17;17;15;10
61;10922;St.Gallen Stadt Guisanstr. 40;31.01.2019;Donnerstag;2;4;1;0;0;4;5;26;49;51;30;43;54;48;44;44;37;42;62;54;29;25;22;16;12
62;10922;St.Gallen Stadt Guisanstr. 40;01.02.2019;Freitag;1;4;1;4;0;2;10;36;59;55;44;45;44;51;49;41;48;62;45;52;34;16;13;15;15
63;10922;St.Gallen Stadt Guisanstr. 40;01.02.2019;Freitag;2;5;2;4;0;3;7;25;44;43;28;33;61;51;50;42;52;58;60;48;36;18;16;18;17
64;10922;St.Gallen Stadt Guisanstr. 40;02.02.2019;Samstag;1;6;1;1;1;2;6;17;15;29;39;52;42;37;49;45;48;37;36;25;23;15;11;12;13
65;10922;St.Gallen Stadt Guisanstr. 40;02.02.2019;Samstag;2;5;4;1;4;1;6;11;19;26;38;40;45;42;45;39;37;40;47;28;23;14;18;11;17
66;10922;St.Gallen Stadt Guisanstr. 40;03.02.2019;Sonntag;1;10;5;4;0;3;4;14;19;21;25;41;53;36;38;66;56;62;52;48;42;27;24;23;11
67;10922;St.Gallen Stadt Guisanstr. 40;03.02.2019;Sonntag;2;7;4;3;1;1;2;7;12;13;16;17;28;23;20;36;30;36;28;27;31;14;15;17;10
68;10922;St.Gallen Stadt Guisanstr. 40;04.02.2019;Montag;1;8;1;1;2;8;30;57;102;130;72;77;107;86;104;79;97;102;118;90;76;47;25;23;15
69;10922;St.Gallen Stadt Guisanstr. 40;04.02.2019;Montag;2;6;0;0;2;7;16;34;56;72;41;46;61;51;52;40;55;56;75;62;46;29;17;14;11
70;10922;St.Gallen Stadt Guisanstr. 40;05.02.2019;Dienstag;1;3;2;1;3;7;13;54;120;121;112;91;109;102;97;69;61;66;87;72;44;34;28;26;11
71;10922;St.Gallen Stadt Guisanstr. 40;05.02.2019;Dienstag;2;3;1;0;1;4;7;27;58;67;57;44;64;56;71;68;50;72;80;71;41;31;29;18;9
72;10922;St.Gallen Stadt Guisanstr. 40;06.02.2019;Mittwoch;1;8;3;1;2;3;10;37;88;77;49;66;56;49;89;62;66;99;98;94;54;36;26;28;9
73;10922;St.Gallen Stadt Guisanstr. 40;06.02.2019;Mittwoch;2;7;2;1;1;3;7;25;62;60;35;48;71;63;64;63;60;69;92;74;49;36;24;29;8
74;10922;St.Gallen Stadt Guisanstr. 40;07.02.2019;Donnerstag;1;7;4;2;1;8;11;42;103;78;71;56;51;50;98;50;65;78;96;75;49;30;26;19;16
75;10922;St.Gallen Stadt Guisanstr. 40;07.02.2019;Donnerstag;2;7;3;1;0;5;7;32;81;70;48;46;54;46;56;53;52;54;86;80;47;26;30;27;16
76;10922;St.Gallen Stadt Guisanstr. 40;08.02.2019;Freitag;1;10;2;3;2;6;14;45;93;94;57;67;95;71;83;66;70;62;92;61;43;21;28;19;14
