LNR	ORT-ID	BEZEICHNUNG	DATUM	WOCHENTAG	RI	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
0	11282	St.Gallen Stadt Rosenb./Grünberg	01.01.2019	Dienstag	1	236	300	243	184	134	79	71	57	51	90	132	180	235	303	319	369	435	364	264	351	228	197	142	105
1	11282	St.Gallen Stadt Rosenb./Grünberg	01.01.2019	Dienstag	2	161	250	184	113	75	71	64	36	53	86	135	173	194	297	333	375	437	309	274	221	208	156	102	83
2	11282	St.Gallen Stadt Rosenb./Grünberg	01.01.2019	Dienstag	3	1	8	4	1	10	6	3	4	6	5	3	5	5	4	11	11	18	18	5	14	6	10	6	2
3	11282	St.Gallen Stadt Rosenb./Grünberg	01.01.2019	Dienstag	4	2	7	4	2	9	6	8	3	10	7	6	14	11	10	19	27	35	25	10	13	11	14	4	2
4	11282	St.Gallen Stadt Rosenb./Grünberg	02.01.2019	Mittwoch	1	83	35	33	31	54	48	110	166	217	282	389	485	408	589	663	614	610	572	449	374	250	198	273	125
5	11282	St.Gallen Stadt Rosenb./Grünberg	02.01.2019	Mittwoch	2	37	28	14	15	49	42	106	195	227	273	376	396	381	524	517	413	392	395	422	361	219	172	125	86
6	11282	St.Gallen Stadt Rosenb./Grünberg	02.01.2019	Mittwoch	3	1	1	1	5	11	2	7	14	8	10	6	14	15	15	12	14	18	17	13	12	8	7	5	2
7	11282	St.Gallen Stadt Rosenb./Grünberg	02.01.2019	Mittwoch	4	1	1	0	5	12	3	9	21	16	21	18	26	26	31	23	35	40	27	27	21	12	15	7	1
8	11282	St.Gallen Stadt Rosenb./Grünberg	03.01.2019	Donnerstag	1	82	47	30	35	55	81	182	336	332	353	446	616	464	613	657	678	765	788	551	405	360	317	241	135
9	11282	St.Gallen Stadt Rosenb./Grünberg	03.01.2019	Donnerstag	2	50	28	21	37	59	75	212	433	402	387	445	494	414	601	527	480	395	416	420	376	301	191	151	106
10	11282	St.Gallen Stadt Rosenb./Grünberg	03.01.2019	Donnerstag	3	2	2	0	4	17	12	15	40	22	8	14	11	9	21	11	19	14	31	21	16	19	6	3	7
11	11282	St.Gallen Stadt Rosenb./Grünberg	03.01.2019	Donnerstag	4	1	0	0	5	19	10	28	66	41	30	22	32	17	48	33	28	27	47	31	26	26	10	2	6
12	11282	St.Gallen Stadt Rosenb./Grünberg	04.01.2019	Freitag	1	91	44	36	47	55	91	180	329	349	374	531	598	555	631	748	683	767	821	617	440	303	315	305	251
13	11282	St.Gallen Stadt Rosenb./Grünberg	04.01.2019	Freitag	2	52	47	21	32	68	96	228	425	476	448	486	474	431	566	546	533	430	393	437	416	304	248	252	171
14	11282	St.Gallen Stadt Rosenb./Grünberg	04.01.2019	Freitag	3	4	2	1	4	14	14	20	35	20	9	16	19	12	17	14	21	24	29	39	12	15	12	7	4
15	11282	St.Gallen Stadt Rosenb./Grünberg	04.01.2019	Freitag	4	2	2	0	9	17	15	33	58	38	26	26	32	30	38	36	33	51	49	45	24	19	14	4	4
16	11282	St.Gallen Stadt Rosenb./Grünberg	05.01.2019	Samstag	1	184	162	92	90	63	46	73	116	190	322	445	493	524	503	521	512	500	514	339	314	245	230	323	276
17	11282	St.Gallen Stadt Rosenb./Grünberg	05.01.2019	Samstag	2	137	86	39	50	63	50	87	132	264	352	353	442	418	421	407	429	400	412	375	305	231	263	226	191
18	11282	St.Gallen Stadt Rosenb./Grünberg	05.01.2019	Samstag	3	6	2	2	2	7	6	3	7	8	4	4	11	9	11	15	16	28	25	13	14	5	17	6	1
19	11282	St.Gallen Stadt Rosenb./Grünberg	05.01.2019	Samstag	4	4	1	4	3	10	9	6	13	24	19	10	25	21	21	22	30	37	26	14	22	17	21	9	4
20	11282	St.Gallen Stadt Rosenb./Grünberg	06.01.2019	Sonntag	1	206	169	136	156	131	85	91	92	131	170	224	309	331	334	388	383	540	454	348	300	263	246	141	87
21	11282	St.Gallen Stadt Rosenb./Grünberg	06.01.2019	Sonntag	2	131	99	86	67	76	66	78	82	111	187	230	264	262	343	372	377	398	340	292	286	261	169	103	66
22	11282	St.Gallen Stadt Rosenb./Grünberg	06.01.2019	Sonntag	3	3	3	6	7	14	15	5	7	6	11	18	18	25	23	31	24	40	35	33	21	22	18	8	2
