LNR;ORT-ID;BEZEICHNUNG;DATUM;WOCHENTAG;RI;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;10924;St.Gallen Stadt Dufourstr. 4;07.09.2020;Montag;1;3;1;0;3;4;4;22;59;68;50;57;67;52;80;59;60;80;107;84;42;40;34;12;8
1;10924;St.Gallen Stadt Dufourstr. 4;08.09.2020;Dienstag;1;0;1;0;3;2;3;22;81;52;68;45;71;48;71;45;62;74;105;95;38;33;45;13;5
2;10924;St.Gallen Stadt Dufourstr. 4;09.09.2020;Mittwoch;1;6;0;0;3;2;4;23;81;54;65;69;58;49;77;49;66;73;112;199;137;40;30;10;12
3;10924;St.Gallen Stadt Dufourstr. 4;10.09.2020;Donnerstag;1;3;1;0;0;3;4;23;85;51;63;52;69;56;65;62;67;90;118;85;56;39;15;16;8
4;10924;St.Gallen Stadt Dufourstr. 4;11.09.2020;Freitag;1;4;2;0;1;1;2;18;71;44;64;59;70;66;97;82;75;90;122;75;55;27;33;23;10
5;10924;St.Gallen Stadt Dufourstr. 4;12.09.2020;Samstag;1;11;6;1;3;3;1;6;16;25;55;61;56;52;38;57;54;59;53;27;23;25;11;7;15
6;10924;St.Gallen Stadt Dufourstr. 4;13.09.2020;Sonntag;1;6;5;0;1;5;2;7;8;10;18;28;15;28;20;32;27;29;40;39;45;32;25;14;2
7;10924;St.Gallen Stadt Dufourstr. 4;14.09.2020;Montag;1;1;0;2;2;1;8;19;55;67;63;55;81;78;89;70;59;80;135;106;70;38;26;13;5
8;10924;St.Gallen Stadt Dufourstr. 4;15.09.2020;Dienstag;1;1;0;0;2;3;9;30;70;58;52;45;69;74;63;46;78;64;125;85;47;43;30;11;5
9;10924;St.Gallen Stadt Dufourstr. 4;16.09.2020;Mittwoch;1;2;7;1;3;4;7;22;76;75;46;52;66;66;78;98;65;89;122;96;62;35;27;13;6
10;10924;St.Gallen Stadt Dufourstr. 4;17.09.2020;Donnerstag;1;4;2;0;3;4;4;21;68;56;48;54;51;57;47;66;70;87;104;103;62;52;26;15;14
11;10924;St.Gallen Stadt Dufourstr. 4;18.09.2020;Freitag;1;3;4;0;4;2;8;20;67;55;78;55;56;63;81;70;74;135;151;108;62;47;24;10;19
12;10924;St.Gallen Stadt Dufourstr. 4;19.09.2020;Samstag;1;5;3;6;2;2;1;10;14;38;46;62;67;90;53;47;62;39;48;36;41;21;9;14;7
13;10924;St.Gallen Stadt Dufourstr. 4;20.09.2020;Sonntag;1;10;9;2;2;0;0;5;8;10;16;33;35;19;37;27;35;39;48;28;32;22;17;12;8
