LNR;ORT-ID;BEZEICHNUNG;DATUM;WOCHENTAG;RI;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;10942;St.Gallen Stadt Favrestr. 5;22.07.2020;Mittwoch;1;14;6;1;2;2;4;10;66;97;111;251;339;325;345;275;299;338;364;368;232;98;29;30;17
1;10942;St.Gallen Stadt Favrestr. 5;22.07.2020;Mittwoch;2;14;6;1;3;4;7;34;114;152;205;329;337;294;332;290;320;336;310;289;115;52;32;29;13
2;10942;St.Gallen Stadt Favrestr. 5;23.07.2020;Donnerstag;1;15;6;1;1;4;3;13;55;80;145;223;296;328;329;281;326;307;346;361;281;198;139;62;17
3;10942;St.Gallen Stadt Favrestr. 5;23.07.2020;Donnerstag;2;16;6;1;0;5;8;29;115;157;227;267;293;331;303;286;354;307;316;310;227;141;92;25;16
4;10942;St.Gallen Stadt Favrestr. 5;24.07.2020;Freitag;1;12;10;2;1;2;4;12;56;101;147;259;382;414;433;343;357;444;427;424;339;112;29;32;16
5;10942;St.Gallen Stadt Favrestr. 5;24.07.2020;Freitag;2;12;9;1;3;4;5;33;124;177;245;345;405;432;378;324;383;386;410;351;183;50;32;29;14
6;10942;St.Gallen Stadt Favrestr. 5;25.07.2020;Samstag;1;17;6;3;0;1;3;14;24;38;160;269;381;439;401;379;349;392;402;185;43;26;30;22;17
7;10942;St.Gallen Stadt Favrestr. 5;25.07.2020;Samstag;2;16;6;5;0;3;4;25;40;138;249;351;417;459;359;351;339;384;261;64;44;27;28;25;18
8;10942;St.Gallen Stadt Favrestr. 5;26.07.2020;Sonntag;1;16;10;3;1;0;3;6;9;12;25;38;45;30;48;46;40;44;41;51;45;36;35;24;12
9;10942;St.Gallen Stadt Favrestr. 5;26.07.2020;Sonntag;2;14;9;2;1;0;1;6;11;14;24;36;41;33;50;40;41;50;48;51;39;33;37;23;16
10;10942;St.Gallen Stadt Favrestr. 5;27.07.2020;Montag;1;9;10;1;0;3;3;16;42;90;144;267;300;351;324;264;270;301;354;333;280;75;27;28;15
11;10942;St.Gallen Stadt Favrestr. 5;27.07.2020;Montag;2;8;8;1;0;2;10;31;108;148;226;320;271;346;297;257;289;312;325;271;159;27;35;26;10
12;10942;St.Gallen Stadt Favrestr. 5;28.07.2020;Dienstag;1;9;6;1;0;2;3;14;40;95;124;209;285;307;294;279;287;303;369;354;267;103;22;16;14
13;10942;St.Gallen Stadt Favrestr. 5;28.07.2020;Dienstag;2;12;6;0;0;2;9;30;102;142;188;261;298;296;298;280;302;324;321;276;168;51;19;14;14
14;10942;St.Gallen Stadt Favrestr. 5;29.07.2020;Mittwoch;1;12;6;0;0;2;4;13;57;81;133;254;339;364;350;282;322;338;323;368;292;99;46;33;25
15;10942;St.Gallen Stadt Favrestr. 5;29.07.2020;Mittwoch;2;13;6;0;0;3;9;37;104;146;221;347;340;350;277;303;358;298;318;321;181;46;51;29;16
16;10942;St.Gallen Stadt Favrestr. 5;30.07.2020;Donnerstag;1;13;9;0;1;2;4;12;55;81;170;301;323;364;294;325;335;352;400;374;350;230;195;59;15
17;10942;St.Gallen Stadt Favrestr. 5;30.07.2020;Donnerstag;2;15;7;1;0;4;9;29;112;160;261;370;340;371;295;315;358;329;354;350;287;213;91;24;11
18;10942;St.Gallen Stadt Favrestr. 5;31.07.2020;Freitag;1;11;6;3;0;1;4;18;55;68;213;372;458;494;495;428;428;503;499;443;318;122;42;39;15
19;10942;St.Gallen Stadt Favrestr. 5;31.07.2020;Freitag;2;14;9;1;2;3;8;34;105;190;357;438;494;498;407;379;492;491;420;389;162;51;35;36;14
20;10942;St.Gallen Stadt Favrestr. 5;01.08.2020;Samstag;1;13;9;2;2;0;1;8;11;29;38;76;90;94;85;80;73;64;53;55;51;26;39;23;19
21;10942;St.Gallen Stadt Favrestr. 5;01.08.2020;Samstag;2;12;9;2;2;0;0;8;17;27;49;74;90;92;79;80;71;66;57;57;51;28;35;20;22
22;10942;St.Gallen Stadt Favrestr. 5;02.08.2020;Sonntag;1;13;11;7;3;2;2;5;12;14;17;36;41;49;39;49;45;52;47;52;48;28;32;22;15
23;10942;St.Gallen Stadt Favrestr. 5;02.08.2020;Sonntag;2;15;11;1;1;3;1;7;12;15;20;37;40;45;47;47;46;55;52;50;44;30;30;20;16
24;10942;St.Gallen Stadt Favrestr. 5;03.08.2020;Montag;1;11;8;0;0;2;6;19;64;94;140;240;338;403;392;305;379;431;472;443;397;124;23;21;14
25;10942;St.Gallen Stadt Favrestr. 5;03.08.2020;Montag;2;10;8;0;0;6;12;36;128;147;215;340;354;416;359;310;410;418;390;405;248;35;25;17;12
26;10942;St.Gallen Stadt Favrestr. 5;04.08.2020;Dienstag;1;9;7;1;1;3;5;14;53;83;124;220;298;368;371;334;322;374;425;442;325;128;26;21;13
27;10942;St.Gallen Stadt Favrestr. 5;04.08.2020;Dienstag;2;11;7;2;0;4;7;29;108;151;196;310;340;322;375;313;370;390;360;332;216;1;29;22;12
28;10942;St.Gallen Stadt Favrestr. 5;05.08.2020;Mittwoch;1;10;8;1;0;1;3;15;46;87;133;209;297;320;326;294;327;314;372;394;301;93;30;19;16
29;10942;St.Gallen Stadt Favrestr. 5;05.08.2020;Mittwoch;2;9;9;0;0;1;8;27;105;147;210;302;314;301;292;316;349;312;345;312;191;39;25;18;14
30;10942;St.Gallen Stadt Favrestr. 5;06.08.2020;Donnerstag;1;16;7;3;1;2;5;15;49;87;115;248;306;323;337;266;296;342;335;384;294;199;179;69;24
