LNR;ORT-ID;BEZEICHNUNG;DATUM;WOCHENTAG;RI;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;10901;St.Gallen Stadt Geltenwilenstr;01.01.2020;Mittwoch;1;99;193;134;104;55;48;64;63;58;77;120;177;172;261;351;387;421;335;199;146;107;97;65;40
1;10901;St.Gallen Stadt Geltenwilenstr;01.01.2020;Mittwoch;2;21;37;12;7;8;8;6;7;7;20;23;23;29;50;71;112;105;83;35;21;25;18;9;2
2;10901;St.Gallen Stadt Geltenwilenstr;01.01.2020;Mittwoch;3;90;171;124;60;43;28;45;38;36;91;196;299;370;439;361;265;244;213;197;140;135;107;70;60
3;10901;St.Gallen Stadt Geltenwilenstr;01.01.2020;Mittwoch;4;3;0;3;2;2;1;6;4;2;3;2;0;1;0;1;3;2;2;0;0;0;1;0;0
4;10901;St.Gallen Stadt Geltenwilenstr;01.01.2020;Mittwoch;5;2;8;8;10;9;7;4;11;4;3;2;1;5;3;0;5;4;6;5;2;3;4;0;1
5;10901;St.Gallen Stadt Geltenwilenstr;01.01.2020;Mittwoch;6;4;9;11;8;10;4;8;9;3;4;2;0;5;2;2;6;5;4;2;3;5;4;1;1
6;10901;St.Gallen Stadt Geltenwilenstr;01.01.2020;Mittwoch;7;13;18;21;17;13;6;8;10;4;7;5;6;10;4;7;9;4;3;10;5;7;3;3;4
7;10901;St.Gallen Stadt Geltenwilenstr;01.01.2020;Mittwoch;8;18;20;9;3;5;4;4;5;7;9;9;13;28;20;20;21;22;34;15;20;14;6;5;3
8;10901;St.Gallen Stadt Geltenwilenstr;02.01.2020;Donnerstag;1;24;12;9;8;21;37;119;165;182;251;274;238;252;364;421;431;425;379;272;169;122;100;97;48
9;10901;St.Gallen Stadt Geltenwilenstr;02.01.2020;Donnerstag;2;5;1;0;1;3;4;8;28;38;39;53;59;38;85;124;115;103;85;64;37;18;25;20;6
10;10901;St.Gallen Stadt Geltenwilenstr;02.01.2020;Donnerstag;3;33;10;8;8;13;18;68;132;119;236;423;549;491;512;432;337;308;345;282;216;164;148;112;70
11;10901;St.Gallen Stadt Geltenwilenstr;02.01.2020;Donnerstag;4;0;0;1;0;0;0;0;5;1;3;4;3;5;2;2;8;5;2;3;4;1;0;0;1
12;10901;St.Gallen Stadt Geltenwilenstr;02.01.2020;Donnerstag;5;0;0;0;2;2;1;0;6;6;5;5;16;8;7;7;23;17;12;11;9;4;6;2;1
13;10901;St.Gallen Stadt Geltenwilenstr;02.01.2020;Donnerstag;6;2;0;0;0;2;1;4;15;15;9;9;19;8;13;9;17;16;17;9;9;2;5;2;1
14;10901;St.Gallen Stadt Geltenwilenstr;02.01.2020;Donnerstag;7;2;0;0;3;2;2;3;4;9;7;13;13;21;17;19;19;19;21;23;9;10;5;7;5
15;10901;St.Gallen Stadt Geltenwilenstr;02.01.2020;Donnerstag;8;1;1;3;0;2;3;10;9;21;23;48;66;66;74;72;81;93;77;54;30;29;25;20;14
16;10901;St.Gallen Stadt Geltenwilenstr;03.01.2020;Freitag;1;31;26;11;21;32;65;190;265;239;288;310;317;298;370;392;351;367;326;236;215;132;110;102;93
17;10901;St.Gallen Stadt Geltenwilenstr;03.01.2020;Freitag;2;3;1;3;1;3;14;10;55;61;50;67;85;60;104;109;88;73;113;61;29;16;15;24;9
18;10901;St.Gallen Stadt Geltenwilenstr;03.01.2020;Freitag;3;33;19;9;15;20;39;145;223;201;238;295;353;324;355;365;379;431;429;395;253;151;131;144;107
19;10901;St.Gallen Stadt Geltenwilenstr;03.01.2020;Freitag;4;0;0;0;0;0;2;3;4;8;4;8;12;3;10;10;13;6;10;3;1;1;1;2;2
20;10901;St.Gallen Stadt Geltenwilenstr;03.01.2020;Freitag;5;2;1;1;3;1;2;2;8;10;8;25;25;16;13;17;34;24;13;14;9;7;7;5;5
21;10901;St.Gallen Stadt Geltenwilenstr;03.01.2020;Freitag;6;2;1;0;0;0;5;22;20;22;17;30;35;17;21;23;34;21;17;17;3;7;4;2;5
22;10901;St.Gallen Stadt Geltenwilenstr;03.01.2020;Freitag;7;4;3;2;1;0;3;6;9;19;17;19;25;24;24;30;35;46;36;18;14;7;9;9;9
23;10901;St.Gallen Stadt Geltenwilenstr;03.01.2020;Freitag;8;8;2;0;0;3;4;22;30;38;59;82;82;102;87;98;96;143;161;86;50;19;9;18;15
24;10901;St.Gallen Stadt Geltenwilenstr;04.01.2020;Samstag;1;70;36;27;23;22;31;73;109;206;282;319;330;313;338;369;301;306;264;196;174;133;182;116;130
25;10901;St.Gallen Stadt Geltenwilenstr;04.01.2020;Samstag;2;11;1;2;2;3;3;7;23;43;49;52;73;68;68;61;62;70;39;46;29;32;30;23;15
26;10901;St.Gallen Stadt Geltenwilenstr;04.01.2020;Samstag;3;51;37;29;15;21;24;49;67;136;198;239;339;317;315;306;314;400;397;331;184;167;146;135;136
27;10901;St.Gallen Stadt Geltenwilenstr;04.01.2020;Samstag;4;1;3;0;1;0;0;1;0;3;3;2;8;4;3;7;2;3;5;5;2;2;0;6;4
28;10901;St.Gallen Stadt Geltenwilenstr;04.01.2020;Samstag;5;4;8;2;2;3;2;3;1;3;4;14;13;9;11;17;14;13;12;7;3;4;6;2;9
29;10901;St.Gallen Stadt Geltenwilenstr;04.01.2020;Samstag;6;4;9;1;2;1;0;3;2;8;12;17;15;15;16;20;13;11;12;6;12;5;8;10;16
30;10901;St.Gallen Stadt Geltenwilenstr;04.01.2020;Samstag;7;4;10;6;1;4;3;4;6;17;22;16;24;22;23;29;28;35;26;9;10;11;7;3;11
31;10901;St.Gallen Stadt Geltenwilenstr;04.01.2020;Samstag;8;11;5;3;1;4;1;8;16;19;37;59;65;75;80;88;89;96;61;39;32;19;18;29;30
32;10901;St.Gallen Stadt Geltenwilenstr;05.01.2020;Sonntag;1;77;56;49;47;32;21;51;77;110;180;177;220;264;336;352;377;408;331;201;188;137;84;60;42
33;10901;St.Gallen Stadt Geltenwilenstr;05.01.2020;Sonntag;2;10;9;7;7;4;6;4;13;19;31;43;66;49;69;95;100;95;71;36;50;30;15;5;8
34;10901;St.Gallen Stadt Geltenwilenstr;05.01.2020;Sonntag;3;77;59;44;21;30;24;42;40;79;142;256;349;366;358;329;305;309;306;289;216;183;142;88;43
35;10901;St.Gallen Stadt Geltenwilenstr;05.01.2020;Sonntag;4;4;4;5;4;8;5;1;0;0;0;2;1;3;5;4;2;6;3;3;3;3;2;3;0
36;10901;St.Gallen Stadt Geltenwilenstr;05.01.2020;Sonntag;5;7;11;14;25;19;21;8;1;0;2;5;5;6;7;12;5;11;18;9;15;8;3;3;1
37;10901;St.Gallen Stadt Geltenwilenstr;05.01.2020;Sonntag;6;9;17;13;23;24;20;4;0;0;4;9;4;9;13;12;7;11;13;10;18;7;7;4;2
38;10901;St.Gallen Stadt Geltenwilenstr;05.01.2020;Sonntag;7;7;19;10;13;10;5;3;4;3;4;8;7;4;13;12;9;13;12;16;9;2;8;5;3
39;10901;St.Gallen Stadt Geltenwilenstr;05.01.2020;Sonntag;8;19;14;11;4;6;4;6;4;13;12;25;40;39;28;49;29;39;33;28;16;17;6;11;7
40;10901;St.Gallen Stadt Geltenwilenstr;06.01.2020;Montag;1;18;12;13;16;59;130;429;400;324;302;245;253;222;360;318;323;367;358;288;194;137;88;78;27
41;10901;St.Gallen Stadt Geltenwilenstr;06.01.2020;Montag;2;3;1;1;3;3;16;109;124;97;79;75;77;62;104;71;99;112;153;65;57;38;24;16;9
42;10901;St.Gallen Stadt Geltenwilenstr;06.01.2020;Montag;3;20;8;7;5;21;49;254;458;329;252;270;342;335;348;362;333;438;544;423;306;191;168;110;56
