LNR;ORT-ID;BEZEICHNUNG;DATUM;WOCHENTAG;RI;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;10907;St.Gallen Stadt Lerchenfeld;01.01.2020;Mittwoch;1;114;185;125;78;57;59;52;41;44;72;125;142;192;206;260;315;276;284;223;200;170;140;103;72
1;10907;St.Gallen Stadt Lerchenfeld;01.01.2020;Mittwoch;2;109;170;112;70;46;61;76;54;65;61;101;151;163;201;240;263;297;274;219;192;184;124;98;63
2;10907;St.Gallen Stadt Lerchenfeld;02.01.2020;Donnerstag;1;66;32;13;20;38;76;115;195;217;308;351;432;437;492;565;540;557;426;354;288;247;174;121;93
3;10907;St.Gallen Stadt Lerchenfeld;02.01.2020;Donnerstag;2;55;29;14;13;33;63;110;174;199;273;354;410;445;477;586;506;535;545;373;259;225;190;113;84
4;10907;St.Gallen Stadt Lerchenfeld;03.01.2020;Freitag;1;61;37;27;27;43;76;141;234;269;363;402;510;489;616;629;619;598;493;419;342;231;186;190;121
5;10907;St.Gallen Stadt Lerchenfeld;03.01.2020;Freitag;2;71;24;30;15;49;71;168;226;262;338;417;502;510;541;603;603;668;573;452;293;240;183;161;129
6;10907;St.Gallen Stadt Lerchenfeld;04.01.2020;Samstag;1;97;57;52;35;42;68;73;139;220;339;444;560;506;524;595;538;544;350;303;241;210;176;200;152
7;10907;St.Gallen Stadt Lerchenfeld;04.01.2020;Samstag;2;88;60;40;34;27;46;82;105;191;304;445;549;484;551;601;585;592;391;274;212;203;187;164;162
8;10907;St.Gallen Stadt Lerchenfeld;05.01.2020;Sonntag;1;132;77;55;47;46;48;68;61;97;135;197;303;296;360;391;412;438;405;307;265;218;157;112;65
9;10907;St.Gallen Stadt Lerchenfeld;05.01.2020;Sonntag;2;104;70;55;39;40;44;86;75;93;180;209;289;307;333;350;404;390;369;282;243;182;146;111;64
10;10907;St.Gallen Stadt Lerchenfeld;06.01.2020;Montag;1;37;20;15;22;52;113;405;511;479;410;452;562;442;525;577;570;657;723;422;329;245;173;165;75
11;10907;St.Gallen Stadt Lerchenfeld;06.01.2020;Montag;2;27;19;13;14;43;112;402;619;431;371;456;484;468;586;532;530;692;785;559;336;210;179;120;64
12;10907;St.Gallen Stadt Lerchenfeld;07.01.2020;Dienstag;1;51;19;16;25;45;111;378;540;445;400;466;524;489;507;518;524;601;682;462;361;251;199;162;78
13;10907;St.Gallen Stadt Lerchenfeld;07.01.2020;Dienstag;2;42;17;12;19;31;113;419;584;392;404;447;479;456;562;492;525;666;697;502;347;256;234;149;77
14;10907;St.Gallen Stadt Lerchenfeld;08.01.2020;Mittwoch;1;44;25;14;20;44;111;354;516;451;413;428;546;478;549;515;550;692;812;522;361;258;198;177;98
15;10907;St.Gallen Stadt Lerchenfeld;08.01.2020;Mittwoch;2;34;14;17;16;34;111;410;607;430;381;434;545;465;532;559;593;676;790;566;419;279;194;148;64
16;10907;St.Gallen Stadt Lerchenfeld;09.01.2020;Donnerstag;1;36;23;19;29;52;113;382;514;441;421;512;540;463;521;531;523;674;739;532;414;264;219;181;105
17;10907;St.Gallen Stadt Lerchenfeld;09.01.2020;Donnerstag;2;47;27;16;16;43;103;407;556;432;377;476;491;453;560;513;538;705;778;517;429;291;240;159;87
18;10907;St.Gallen Stadt Lerchenfeld;10.01.2020;Freitag;1;52;32;17;24;48;99;348;500;464;450;521;577;518;578;578;588;736;716;454;365;268;226;225;158
19;10907;St.Gallen Stadt Lerchenfeld;10.01.2020;Freitag;2;43;28;19;20;43;110;406;549;431;412;476;567;509;561;574;604;710;729;529;411;278;217;192;172
20;10907;St.Gallen Stadt Lerchenfeld;11.01.2020;Samstag;1;120;78;44;46;34;58;98;151;258;464;548;597;546;632;605;568;532;460;342;278;261;170;195;138
