LNR;ORT-ID;BEZEICHNUNG;DATUM;WOCHENTAG;RI;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;11051;St.Gallen Stadt Lerchenfeldstr;27.10.2020;Dienstag;1;2;1;4;7;15;33;167;278;289;260;245;345;287;331;308;332;452;452;269;148;91;70;38;23
1;11051;St.Gallen Stadt Lerchenfeldstr;28.10.2020;Mittwoch;1;2;2;5;8;20;27;171;279;299;271;268;361;283;336;308;333;392;397;279;158;102;56;36;26
2;11051;St.Gallen Stadt Lerchenfeldstr;29.10.2020;Donnerstag;1;10;3;5;9;13;33;146;284;301;271;278;272;310;318;324;332;415;374;384;191;101;75;35;21
3;11051;St.Gallen Stadt Lerchenfeldstr;30.10.2020;Freitag;1;2;1;1;7;13;39;136;293;283;283;304;302;287;317;303;314;410;443;235;147;80;68;51;53
4;11051;St.Gallen Stadt Lerchenfeldstr;31.10.2020;Samstag;1;19;7;10;16;9;15;29;85;144;248;325;354;421;384;386;358;347;180;124;88;58;45;35;35
5;11051;St.Gallen Stadt Lerchenfeldstr;01.11.2020;Sonntag;1;23;22;7;6;9;3;12;13;40;69;97;115;133;125;161;137;142;130;104;66;58;42;23;11
6;11051;St.Gallen Stadt Lerchenfeldstr;02.11.2020;Montag;1;6;3;1;9;16;38;158;318;199;122;140;133;204;202;163;179;201;245;153;83;42;30;23;11
7;11051;St.Gallen Stadt Lerchenfeldstr;03.11.2020;Dienstag;1;1;2;2;3;12;25;111;167;155;139;171;162;187;162;190;193;220;244;138;93;55;27;20;10
8;11051;St.Gallen Stadt Lerchenfeldstr;04.11.2020;Mittwoch;1;3;3;1;5;12;25;136;199;144;174;174;183;169;207;203;201;267;285;131;62;52;35;17;11
9;11051;St.Gallen Stadt Lerchenfeldstr;05.11.2020;Donnerstag;1;5;6;0;3;12;30;142;219;200;171;186;210;202;226;257;255;228;291;162;152;108;44;24;10
10;11051;St.Gallen Stadt Lerchenfeldstr;06.11.2020;Freitag;1;9;5;2;3;9;28;135;195;185;197;182;258;196;272;235;209;297;267;168;104;61;43;21;19
11;11051;St.Gallen Stadt Lerchenfeldstr;07.11.2020;Samstag;1;7;10;5;14;3;14;25;62;119;179;232;250;197;238;259;266;213;123;79;46;37;18;26;35
12;11051;St.Gallen Stadt Lerchenfeldstr;08.11.2020;Sonntag;1;17;16;7;3;4;5;7;13;23;36;44;72;64;83;63;96;76;60;60;48;44;19;20;13
13;11051;St.Gallen Stadt Lerchenfeldstr;09.11.2020;Montag;1;7;2;3;7;10;22;138;220;174;192;192;185;167;237;207;202;249;332;167;83;52;29;25;8
