LNR;ORT-ID;BEZEICHNUNG;DATUM;WOCHENTAG;RI;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
37;11050;St.Gallen Stadt Lerchental;19.01.2020;Sonntag;2;0;0;4;0;0;0;0;0;2;3;2;7;7;3;3;6;9;4;2;1;2;7;2;0
38;11050;St.Gallen Stadt Lerchental;20.01.2020;Montag;1;1;0;1;0;0;0;10;24;72;49;83;100;76;58;83;79;132;108;65;22;5;2;2;0
39;11050;St.Gallen Stadt Lerchental;20.01.2020;Montag;2;1;0;2;0;0;6;47;194;119;89;85;69;91;102;105;90;78;43;30;2;3;1;1;0
40;11050;St.Gallen Stadt Lerchental;21.01.2020;Dienstag;1;0;0;2;1;1;0;6;41;72;68;60;111;85;60;82;75;101;133;63;24;3;2;4;0
41;11050;St.Gallen Stadt Lerchental;21.01.2020;Dienstag;2;0;0;2;0;2;4;53;209;102;86;82;70;72;114;93;84;76;52;40;18;1;1;2;0
42;11050;St.Gallen Stadt Lerchental;22.01.2020;Mittwoch;1;0;0;2;1;2;1;7;40;58;49;71;91;71;54;63;77;90;118;62;26;8;3;6;0
43;11050;St.Gallen Stadt Lerchental;22.01.2020;Mittwoch;2;0;0;2;1;2;7;68;161;101;83;93;68;68;104;81;90;74;46;37;27;4;2;1;0
44;11050;St.Gallen Stadt Lerchental;23.01.2020;Donnerstag;1;0;0;2;0;1;4;12;46;52;71;67;97;72;54;75;73;102;101;68;35;29;10;4;1
45;11050;St.Gallen Stadt Lerchental;23.01.2020;Donnerstag;2;0;0;3;0;0;7;68;197;122;76;84;68;70;123;81;79;84;64;51;20;2;1;1;0
46;11050;St.Gallen Stadt Lerchental;24.01.2020;Freitag;1;0;0;3;0;2;1;11;35;70;51;77;89;75;67;77;77;94;94;48;15;5;1;0;2
47;11050;St.Gallen Stadt Lerchental;24.01.2020;Freitag;2;1;0;3;1;3;6;53;180;116;69;79;66;72;136;77;84;66;47;15;3;2;2;1;0
48;11050;St.Gallen Stadt Lerchental;25.01.2020;Samstag;1;3;1;1;0;1;0;2;7;16;31;61;72;47;41;43;60;57;24;7;2;8;6;1;1
49;11050;St.Gallen Stadt Lerchental;25.01.2020;Samstag;2;0;1;1;0;2;2;3;24;28;44;66;67;34;50;53;44;52;12;3;2;2;5;3;0
50;11050;St.Gallen Stadt Lerchental;26.01.2020;Sonntag;1;0;1;0;3;0;1;2;0;2;3;5;6;7;13;3;20;8;9;3;4;0;2;0;1
51;11050;St.Gallen Stadt Lerchental;26.01.2020;Sonntag;2;0;0;0;5;1;1;1;1;3;13;9;6;6;3;6;13;4;2;3;1;3;0;1;1
52;11050;St.Gallen Stadt Lerchental;27.01.2020;Montag;1;0;0;0;0;0;2;9;29;58;60;63;95;79;58;76;70;91;101;54;11;5;5;1;1
53;11050;St.Gallen Stadt Lerchental;27.01.2020;Montag;2;0;1;2;0;1;4;54;161;88;79;94;67;75;96;89;77;63;63;24;7;1;3;1;0
54;11050;St.Gallen Stadt Lerchental;28.01.2020;Dienstag;1;0;1;1;1;0;2;12;32;47;48;62;76;53;41;62;82;70;106;54;13;11;0;5;0
55;11050;St.Gallen Stadt Lerchental;28.01.2020;Dienstag;2;0;1;0;1;1;5;51;156;82;61;73;50;56;81;76;73;59;53;23;5;6;1;2;0
56;11050;St.Gallen Stadt Lerchental;29.01.2020;Mittwoch;1;1;1;0;2;2;4;8;39;52;55;60;80;80;51;60;65;81;104;63;43;2;3;0;0
57;11050;St.Gallen Stadt Lerchental;29.01.2020;Mittwoch;2;0;1;1;0;4;5;51;148;94;69;68;60;57;103;72;87;66;55;32;8;0;2;0;0
58;11050;St.Gallen Stadt Lerchental;30.01.2020;Donnerstag;1;0;0;1;0;0;2;12;34;53;75;75;83;66;53;57;67;88;110;61;18;19;3;1;0
59;11050;St.Gallen Stadt Lerchental;30.01.2020;Donnerstag;2;0;1;3;0;1;5;58;175;118;60;92;69;61;101;75;62;72;54;25;14;5;2;0;0
60;11050;St.Gallen Stadt Lerchental;31.01.2020;Freitag;1;1;1;0;1;0;0;10;32;41;61;66;95;65;64;58;64;84;89;49;9;3;0;2;1
61;11050;St.Gallen Stadt Lerchental;31.01.2020;Freitag;2;1;1;1;0;1;4;52;155;81;65;71;84;59;102;73;72;57;54;26;2;0;2;0;1
62;11050;St.Gallen Stadt Lerchental;01.02.2020;Samstag;1;0;0;1;1;0;0;2;7;12;29;52;63;47;54;65;63;50;25;7;3;4;5;0;1
63;11050;St.Gallen Stadt Lerchental;01.02.2020;Samstag;2;0;2;3;1;1;1;6;19;26;29;62;53;52;56;55;53;42;6;1;5;2;6;1;2
64;11050;St.Gallen Stadt Lerchental;02.02.2020;Sonntag;1;1;0;0;0;1;0;1;0;4;4;7;5;4;8;6;13;9;8;0;2;3;1;1;0
65;11050;St.Gallen Stadt Lerchental;02.02.2020;Sonntag;2;0;0;2;0;2;0;1;1;3;2;9;3;5;7;9;9;7;6;2;3;2;0;1;0
66;11050;St.Gallen Stadt Lerchental;03.02.2020;Montag;1;1;2;0;0;1;0;14;24;58;60;81;101;78;57;78;68;98;106;54;25;5;3;2;0
67;11050;St.Gallen Stadt Lerchental;03.02.2020;Montag;2;2;0;1;0;1;2;57;169;108;62;79;72;76;121;87;69;89;41;17;7;5;1;0;0
68;11050;St.Gallen Stadt Lerchental;04.02.2020;Dienstag;1;2;1;0;0;1;1;9;35;61;73;67;97;86;57;83;91;84;123;70;16;4;2;0;0
69;11050;St.Gallen Stadt Lerchental;04.02.2020;Dienstag;2;1;0;1;0;1;3;64;189;112;86;67;61;81;126;110;82;73;49;24;4;2;2;0;0
