LNR;ORT-ID;BEZEICHNUNG;DATUM;WOCHENTAG;RI;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;10911;St.Gallen Stadt Oberstr. 75;07.09.2020;Montag;1;23;8;8;10;15;64;195;242;235;194;162;224;181;247;186;226;248;314;240;177;111;97;60;21
1;10911;St.Gallen Stadt Oberstr. 75;07.09.2020;Montag;2;21;6;5;9;17;43;142;304;234;185;215;233;205;274;211;295;323;435;295;178;136;100;67;24
2;10911;St.Gallen Stadt Oberstr. 75;08.09.2020;Dienstag;1;15;17;9;11;16;59;195;273;217;181;164;213;195;219;225;237;235;353;287;157;133;109;78;33
3;10911;St.Gallen Stadt Oberstr. 75;08.09.2020;Dienstag;2;18;6;13;10;17;45;142;307;248;181;207;253;206;251;219;262;295;416;314;201;126;110;67;33
4;10911;St.Gallen Stadt Oberstr. 75;09.09.2020;Mittwoch;1;24;8;10;10;19;64;194;223;213;194;165;225;215;256;221;231;238;400;485;224;121;108;68;35
5;10911;St.Gallen Stadt Oberstr. 75;09.09.2020;Mittwoch;2;24;8;2;12;10;50;151;325;239;190;224;240;206;287;211;263;335;446;460;369;139;94;73;31
6;10911;St.Gallen Stadt Oberstr. 75;10.09.2020;Donnerstag;1;13;13;4;10;18;61;184;274;239;181;184;220;183;216;193;234;232;330;230;168;149;99;85;39
7;10911;St.Gallen Stadt Oberstr. 75;10.09.2020;Donnerstag;2;16;6;3;10;16;44;154;332;219;213;235;232;222;212;222;263;302;419;289;179;131;105;85;31
8;10911;St.Gallen Stadt Oberstr. 75;11.09.2020;Freitag;1;24;19;7;10;15;48;170;243;230;206;197;228;211;255;248;250;319;341;230;163;121;76;79;47
9;10911;St.Gallen Stadt Oberstr. 75;11.09.2020;Freitag;2;25;10;6;8;13;41;146;297;244;224;230;260;220;250;248;283;371;367;282;191;116;105;75;59
10;10911;St.Gallen Stadt Oberstr. 75;12.09.2020;Samstag;1;51;35;25;23;12;28;48;78;140;167;198;213;204;217;201;227;192;157;161;123;122;93;67;49
11;10911;St.Gallen Stadt Oberstr. 75;12.09.2020;Samstag;2;48;27;18;28;19;19;38;93;158;202;235;285;255;236;231;232;199;188;164;123;95;87;80;68
12;10911;St.Gallen Stadt Oberstr. 75;13.09.2020;Sonntag;1;47;50;31;23;16;17;16;31;41;80;90;130;125;148;139;168;157;202;143;137;103;70;39;29
13;10911;St.Gallen Stadt Oberstr. 75;13.09.2020;Sonntag;2;45;56;27;23;20;20;30;34;74;108;126;146;146;159;153;148;136;156;158;138;100;72;50;26
14;10911;St.Gallen Stadt Oberstr. 75;14.09.2020;Montag;1;12;12;8;13;14;69;215;245;218;185;205;222;197;223;210;214;242;373;237;192;107;89;56;26
15;10911;St.Gallen Stadt Oberstr. 75;14.09.2020;Montag;2;17;4;3;7;13;44;152;294;235;193;220;263;201;272;237;257;323;374;278;185;132;91;57;24
16;10911;St.Gallen Stadt Oberstr. 75;15.09.2020;Dienstag;1;8;10;6;9;20;74;199;256;235;177;176;225;205;233;190;228;265;338;251;162;125;88;50;35
17;10911;St.Gallen Stadt Oberstr. 75;15.09.2020;Dienstag;2;18;0;4;9;20;44;152;302;282;193;187;256;186;263;238;265;317;389;284;185;119;87;57;23
18;10911;St.Gallen Stadt Oberstr. 75;16.09.2020;Mittwoch;1;24;6;8;9;16;66;198;227;192;165;193;218;222;224;224;239;273;353;263;185;137;86;70;36
19;10911;St.Gallen Stadt Oberstr. 75;16.09.2020;Mittwoch;2;19;2;3;9;14;39;166;320;221;198;212;223;220;258;245;306;291;429;303;173;130;108;69;31
20;10911;St.Gallen Stadt Oberstr. 75;17.09.2020;Donnerstag;1;17;11;10;11;17;62;191;259;232;157;188;221;191;212;233;169;226;344;289;186;118;96;64;38
21;10911;St.Gallen Stadt Oberstr. 75;17.09.2020;Donnerstag;2;21;3;6;13;14;41;157;298;227;214;205;261;205;239;193;265;300;378;275;193;134;116;68;39
22;10911;St.Gallen Stadt Oberstr. 75;18.09.2020;Freitag;1;22;14;10;9;17;57;176;227;217;211;184;228;219;263;260;211;346;352;232;166;126;111;91;67
23;10911;St.Gallen Stadt Oberstr. 75;18.09.2020;Freitag;2;18;7;7;14;15;44;143;298;244;221;229;260;208;270;273;298;404;487;371;193;140;108;92;59
24;10911;St.Gallen Stadt Oberstr. 75;19.09.2020;Samstag;1;53;43;24;27;9;16;55;83;129;190;207;230;199;185;221;211;187;202;180;95;114;73;71;51
25;10911;St.Gallen Stadt Oberstr. 75;19.09.2020;Samstag;2;41;34;21;22;18;20;52;103;155;161;215;248;264;276;229;256;231;199;142;119;101;73;63;67
26;10911;St.Gallen Stadt Oberstr. 75;20.09.2020;Sonntag;1;66;51;36;23;21;17;16;31;50;103;104;114;127;136;156;184;177;169;168;131;114;78;38;34
27;10911;St.Gallen Stadt Oberstr. 75;20.09.2020;Sonntag;2;54;44;32;26;14;17;25;34;74;109;136;165;143;172;167;148;172;144;174;133;93;66;36;29
