LNR;ORT-ID;BEZEICHNUNG;DATUM;WOCHENTAG;RI;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;10911;St.Gallen Stadt Oberstr. 75;20.08.2018;Montag;1;15;5;7;11;18;64;262;273;236;182;217;233;181;252;208;244;249;365;265;160;125;85;62;37
1;10911;St.Gallen Stadt Oberstr. 75;20.08.2018;Montag;2;16;4;7;9;13;49;165;343;240;196;227;236;233;243;244;276;320;487;371;195;125;97;67;25
2;10911;St.Gallen Stadt Oberstr. 75;21.08.2018;Dienstag;1;16;12;10;7;17;76;241;274;267;184;199;210;208;227;189;208;265;299;259;171;159;121;73;44
3;10911;St.Gallen Stadt Oberstr. 75;21.08.2018;Dienstag;2;14;6;5;7;22;56;161;328;259;209;219;281;202;252;231;268;338;490;363;204;129;122;77;40
4;10911;St.Gallen Stadt Oberstr. 75;22.08.2018;Mittwoch;1;25;10;14;9;25;70;232;287;229;193;207;221;204;257;241;220;238;366;265;148;152;91;68;38
5;10911;St.Gallen Stadt Oberstr. 75;22.08.2018;Mittwoch;2;19;6;6;10;19;55;172;345;222;207;218;275;218;278;264;286;353;436;346;201;159;121;67;35
6;10911;St.Gallen Stadt Oberstr. 75;23.08.2018;Donnerstag;1;19;7;9;19;24;58;221;301;249;195;187;228;211;243;214;214;269;356;261;178;135;106;85;46
7;10911;St.Gallen Stadt Oberstr. 75;23.08.2018;Donnerstag;2;17;7;10;9;22;57;171;302;298;220;234;259;220;293;240;253;351;466;376;172;162;127;73;34
8;10911;St.Gallen Stadt Oberstr. 75;24.08.2018;Freitag;1;24;16;13;12;25;69;203;262;232;204;224;225;224;232;227;233;304;324;210;172;123;112;78;58
9;10911;St.Gallen Stadt Oberstr. 75;24.08.2018;Freitag;2;24;9;4;8;19;53;162;310;251;212;249;298;224;286;338;314;409;459;349;203;133;121;83;69
10;10911;St.Gallen Stadt Oberstr. 75;25.08.2018;Samstag;1;55;52;31;32;24;24;56;79;127;176;208;220;204;189;193;174;183;157;123;111;100;97;63;77
11;10911;St.Gallen Stadt Oberstr. 75;25.08.2018;Samstag;2;52;37;24;33;20;25;62;82;169;153;211;251;240;233;219;240;207;217;156;113;95;82;67;62
12;10911;St.Gallen Stadt Oberstr. 75;26.08.2018;Sonntag;1;42;39;33;33;24;16;20;21;42;84;92;122;125;110;160;179;149;159;150;149;105;90;52;22
13;10911;St.Gallen Stadt Oberstr. 75;26.08.2018;Sonntag;2;53;40;28;28;21;23;33;38;52;92;127;154;140;151;151;157;164;146;230;139;91;90;46;20
14;10911;St.Gallen Stadt Oberstr. 75;27.08.2018;Montag;1;11;6;6;11;17;65;241;271;235;166;203;245;191;262;228;213;249;337;252;154;125;90;75;32
