LNR;ORT-ID;BEZEICHNUNG;DATUM;WOCHENTAG;RI;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
34;10935;St.Gallen Stadt Schwarzer BÃ¤re;06.01.2018;Samstag;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;10935;St.Gallen Stadt Schwarzer BÃ¤re;06.01.2018;Samstag;5;24;18;10;6;6;6;13;19;38;45;60;75;95;88;106;94;93;102;55;39;26;34;25;31
36;10935;St.Gallen Stadt Schwarzer BÃ¤re;06.01.2018;Samstag;6;10;8;11;7;8;11;18;34;44;85;78;71;78;74;96;93;79;74;57;37;32;22;21;12
37;10935;St.Gallen Stadt Schwarzer BÃ¤re;07.01.2018;Sonntag;1;17;12;9;10;9;9;14;17;22;54;61;82;96;116;130;136;129;99;66;55;39;29;7;10
38;10935;St.Gallen Stadt Schwarzer BÃ¤re;07.01.2018;Sonntag;2;31;17;22;6;6;8;19;14;19;49;72;92;126;125;129;102;108;104;57;63;37;23;22;13
39;10935;St.Gallen Stadt Schwarzer BÃ¤re;07.01.2018;Sonntag;3;8;7;8;3;0;1;5;7;12;35;39;47;62;74;66;68;60;58;38;31;15;15;5;6
40;10935;St.Gallen Stadt Schwarzer BÃ¤re;07.01.2018;Sonntag;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;10935;St.Gallen Stadt Schwarzer BÃ¤re;07.01.2018;Sonntag;5;24;14;14;5;5;8;15;10;18;36;50;74;100;89;95;80;81;73;43;49;31;16;20;12
42;10935;St.Gallen Stadt Schwarzer BÃ¤re;07.01.2018;Sonntag;6;14;8;7;8;7;7;12;14;16;38;50;63;80;87;104;107;113;78;53;41;33;22;5;8
43;10935;St.Gallen Stadt Schwarzer BÃ¤re;08.01.2018;Montag;1;3;0;1;8;12;30;153;212;138;100;91;99;89;130;117;117;149;141;117;81;34;25;25;6
44;10935;St.Gallen Stadt Schwarzer BÃ¤re;08.01.2018;Montag;2;1;0;3;4;5;16;77;128;80;80;86;112;118;129;102;105;148;211;170;102;79;61;40;17
45;10935;St.Gallen Stadt Schwarzer BÃ¤re;08.01.2018;Montag;3;0;0;1;5;5;5;43;100;60;61;58;62;66;74;48;60;89;115;87;40;32;21;13;6
46;10935;St.Gallen Stadt Schwarzer BÃ¤re;08.01.2018;Montag;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;10935;St.Gallen Stadt Schwarzer BÃ¤re;08.01.2018;Montag;5;1;0;2;3;3;15;65;95;58;59;71;89;90;90;90;89;104;144;130;82;57;50;34;15
48;10935;St.Gallen Stadt Schwarzer BÃ¤re;08.01.2018;Montag;6;3;0;1;3;9;24;123;160;107;80;80;88;64;115;101;101;123;109;93;62;28;21;18;5
49;10935;St.Gallen Stadt Schwarzer BÃ¤re;09.01.2018;Dienstag;1;4;1;2;3;7;39;142;241;136;114;102;91;82;135;127;146;147;144;118;59;37;23;25;16
50;10935;St.Gallen Stadt Schwarzer BÃ¤re;09.01.2018;Dienstag;2;6;3;3;2;8;18;80;128;103;83;82;125;113;121;123;117;142;202;148;95;89;62;43;25
51;10935;St.Gallen Stadt Schwarzer BÃ¤re;09.01.2018;Dienstag;3;5;0;1;4;4;11;42;98;73;59;54;64;53;63;69;49;99;112;71;39;43;29;12;10
52;10935;St.Gallen Stadt Schwarzer BÃ¤re;09.01.2018;Dienstag;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;10935;St.Gallen Stadt Schwarzer BÃ¤re;09.01.2018;Dienstag;5;4;3;2;0;3;15;60;88;76;73;63;100;92;96;95;99;99;148;111;70;66;43;36;24
54;10935;St.Gallen Stadt Schwarzer BÃ¤re;09.01.2018;Dienstag;6;4;1;2;0;5;29;116;197;109;88;81;78;56;108;106;127;119;123;85;49;20;18;23;10
55;10935;St.Gallen Stadt Schwarzer BÃ¤re;10.01.2018;Mittwoch;1;8;6;1;3;8;28;127;219;134;121;114;103;96;142;140;128;183;183;108;84;39;18;35;17
56;10935;St.Gallen Stadt Schwarzer BÃ¤re;10.01.2018;Mittwoch;2;8;2;1;1;4;14;76;136;109;92;102;140;111;138;121;134;165;207;152;118;78;70;49;37
57;10935;St.Gallen Stadt Schwarzer BÃ¤re;10.01.2018;Mittwoch;3;2;0;1;4;3;9;35;101;61;57;50;56;57;81;71;67;84;126;77;66;29;27;22;18
58;10935;St.Gallen Stadt Schwarzer BÃ¤re;10.01.2018;Mittwoch;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;10935;St.Gallen Stadt Schwarzer BÃ¤re;10.01.2018;Mittwoch;5;8;2;0;0;2;12;63;98;78;74;94;115;83;106;106;106;134;147;110;81;59;55;38;26
60;10935;St.Gallen Stadt Schwarzer BÃ¤re;10.01.2018;Mittwoch;6;7;5;1;1;6;22;104;181;104;105;98;94;84;114;119;114;146;141;86;67;33;17;25;13
61;10935;St.Gallen Stadt Schwarzer BÃ¤re;11.01.2018;Donnerstag;1;5;2;3;4;8;41;132;198;158;105;102;117;70;139;127;122;164;167;130;97;47;40;30;27
62;10935;St.Gallen Stadt Schwarzer BÃ¤re;11.01.2018;Donnerstag;2;6;2;2;2;2;14;78;138;87;77;113;124;107;124;114;119;159;214;171;99;97;63;56;34
63;10935;St.Gallen Stadt Schwarzer BÃ¤re;11.01.2018;Donnerstag;3;3;0;2;3;3;7;45;86;65;46;51;71;57;66;62;72;97;111;91;58;30;31;13;12
64;10935;St.Gallen Stadt Schwarzer BÃ¤re;11.01.2018;Donnerstag;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;10935;St.Gallen Stadt Schwarzer BÃ¤re;11.01.2018;Donnerstag;5;5;2;2;1;2;14;61;105;61;59;103;110;84;100;87;94;115;160;125;70;74;42;50;32
66;10935;St.Gallen Stadt Schwarzer BÃ¤re;11.01.2018;Donnerstag;6;6;2;2;1;8;34;108;158;124;85;81;101;56;112;106;106;141;130;100;73;44;32;23;22
67;10935;St.Gallen Stadt Schwarzer BÃ¤re;12.01.2018;Freitag;1;9;3;1;5;14;33;138;185;151;92;114;104;93;132;118;116;145;147;117;81;101;42;37;29
68;10935;St.Gallen Stadt Schwarzer BÃ¤re;12.01.2018;Freitag;2;14;3;4;3;5;15;68;116;80;109;97;110;109;108;101;129;209;221;151;82;64;66;62;45
69;10935;St.Gallen Stadt Schwarzer BÃ¤re;12.01.2018;Freitag;3;5;0;1;5;3;10;45;84;62;43;47;65;58;81;55;70;101;138;85;34;30;13;22;19
70;10935;St.Gallen Stadt Schwarzer BÃ¤re;12.01.2018;Freitag;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;10935;St.Gallen Stadt Schwarzer BÃ¤re;12.01.2018;Freitag;5;14;3;3;1;2;12;59;88;62;89;88;96;81;84;81;104;144;149;108;66;46;59;49;36
72;10935;St.Gallen Stadt Schwarzer BÃ¤re;12.01.2018;Freitag;6;9;3;1;2;12;25;114;147;134;78;100;79;75;100;112;92;127;108;78;63;93;39;31;24
73;10935;St.Gallen Stadt Schwarzer BÃ¤re;13.01.2018;Samstag;1;22;22;15;14;9;9;25;71;70;110;100;94;87;105;105;126;114;108;73;69;35;14;31;15
74;10935;St.Gallen Stadt Schwarzer BÃ¤re;13.01.2018;Samstag;2;29;26;18;12;3;6;21;36;40;58;90;110;109;121;133;139;135;101;76;54;35;32;35;51
75;10935;St.Gallen Stadt Schwarzer BÃ¤re;13.01.2018;Samstag;3;11;13;5;4;0;4;5;16;38;42;62;67;67;69;63;76;78;51;43;24;17;8;20;13
76;10935;St.Gallen Stadt Schwarzer BÃ¤re;13.01.2018;Samstag;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;10935;St.Gallen Stadt Schwarzer BÃ¤re;13.01.2018;Samstag;5;24;22;14;10;3;4;18;28;29;44;74;88;86;99;107;111;105;81;56;47;25;27;27;44
78;10935;St.Gallen Stadt Schwarzer BÃ¤re;13.01.2018;Samstag;6;13;16;11;10;8;9;22;62;58;88;72;81;58;80;93;99;89;89;57;55;32;9;23;12
79;10935;St.Gallen Stadt Schwarzer BÃ¤re;14.01.2018;Sonntag;1;14;15;8;6;7;10;22;20;29;65;61;64;92;128;157;180;144;110;69;52;38;18;18;5
80;10935;St.Gallen Stadt Schwarzer BÃ¤re;14.01.2018;Sonntag;2;31;19;9;9;5;9;20;22;19;64;90;123;126;134;133;121;91;82;65;59;46;37;30;10
81;10935;St.Gallen Stadt Schwarzer BÃ¤re;14.01.2018;Sonntag;3;9;8;5;2;1;4;4;10;11;36;47;67;68;72;68;76;53;45;33;24;26;16;10;2
82;10935;St.Gallen Stadt Schwarzer BÃ¤re;14.01.2018;Sonntag;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
83;10935;St.Gallen Stadt Schwarzer BÃ¤re;14.01.2018;Sonntag;5;24;14;8;8;4;8;16;20;17;48;73;95;98;115;111;86;75;63;50;50;31;30;28;11
84;10935;St.Gallen Stadt Schwarzer BÃ¤re;14.01.2018;Sonntag;6;11;10;8;6;4;9;21;19;24;47;49;53;69;98;129;158;128;94;57;41;27;13;14;5
85;10935;St.Gallen Stadt Schwarzer BÃ¤re;15.01.2018;Montag;1;7;4;1;4;8;38;133;221;136;106;87;102;97;125;135;139;178;174;124;68;38;30;33;10
86;10935;St.Gallen Stadt Schwarzer BÃ¤re;15.01.2018;Montag;2;7;3;3;3;2;17;76;132;99;85;103;115;110;105;117;140;158;241;186;104;70;47;43;14
87;10935;St.Gallen Stadt Schwarzer BÃ¤re;15.01.2018;Montag;3;2;2;0;4;2;7;41;89;73;48;51;56;60;75;59;74;90;113;92;50;29;24;19;8
88;10935;St.Gallen Stadt Schwarzer BÃ¤re;15.01.2018;Montag;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;10935;St.Gallen Stadt Schwarzer BÃ¤re;15.01.2018;Montag;5;6;1;3;1;1;15;66;100;79;66;92;100;88;79;98;100;105;179;139;73;59;37;35;9
90;10935;St.Gallen Stadt Schwarzer BÃ¤re;15.01.2018;Montag;6;6;4;0;1;6;30;103;178;105;88;79;97;79;105;112;107;150;142;95;58;30;26;26;11
91;10935;St.Gallen Stadt Schwarzer BÃ¤re;16.01.2018;Dienstag;1;5;2;0;5;9;38;144;235;136;93;87;97;76;120;113;116;147;163;116;84;40;25;29;16
92;10935;St.Gallen Stadt Schwarzer BÃ¤re;16.01.2018;Dienstag;2;9;3;1;3;2;11;67;134;95;76;96;101;88;117;118;118;142;241;188;101;55;65;53;18
93;10935;St.Gallen Stadt Schwarzer BÃ¤re;16.01.2018;Dienstag;3;2;1;0;5;1;8;39;91;66;47;57;54;58;77;48;67;90;122;73;45;22;32;14;3
94;10935;St.Gallen Stadt Schwarzer BÃ¤re;16.01.2018;Dienstag;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
95;10935;St.Gallen Stadt Schwarzer BÃ¤re;16.01.2018;Dienstag;5;7;2;1;0;2;10;55;99;69;55;75;88;68;79;99;95;105;184;152;74;43;46;49;18
96;10935;St.Gallen Stadt Schwarzer BÃ¤re;16.01.2018;Dienstag;6;5;2;0;3;8;29;117;188;106;78;71;84;61;99;89;101;129;126;89;69;32;21;23;14
97;10935;St.Gallen Stadt Schwarzer BÃ¤re;02.02.2018;Freitag;1;4;4;5;6;10;28;121;136;109;93;108;106;94;117;100;137;113;123;77;61;35;35;29;19
98;10935;St.Gallen Stadt Schwarzer BÃ¤re;02.02.2018;Freitag;2;8;5;4;2;6;18;62;97;72;88;91;95;92;95;121;102;143;179;121;100;51;50;51;38
99;10935;St.Gallen Stadt Schwarzer BÃ¤re;02.02.2018;Freitag;3;1;0;2;2;5;9;36;53;51;41;45;46;46;63;53;61;75;107;53;35;20;19;13;12
100;10935;St.Gallen Stadt Schwarzer BÃ¤re;02.02.2018;Freitag;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;10935;St.Gallen Stadt Schwarzer BÃ¤re;02.02.2018;Freitag;5;7;5;2;1;4;14;47;78;55;67;76;78;76;74;94;78;109;103;92;75;40;43;43;32
